1,ආයතන හා පාලන අංශය
2,ආදායම් අංශය
3,ගිණුම් අංශය
4,කර්මාන්ත / සංවර්ධන අංශය
5,පරිසර අංශය
6,ප්‍රජා සංවර්ධන අංශය
7,අභ්‍යන්තර විගණන අංශය
